hashtag_H 	 cluster_C_leader(userID) 	 relative_frequency_H_C 	 frequency_H_in_C 	 frequency_H_overall 	 count_H_in_C 	 count_hashtags_in_C 	 count_H_entire_dataset 	 count_hashtags_entire_dataset
ShaneStone 	 3453306553 	 69.2457985058 	 .0019493177 	 1 	 1 	 3 	 106569
RussianInvasion 	 3453306553 	 14.8383552738 	 .0019493177 	 1 	 3 	 14 	 106569
Russia 	 3453306553 	 1 1 1 .0854532450 	 1 1 1 .0019493177 	 1 1 1 1 	 1029 	 2431 	 106569
newspoll 	 3453306553 	 34.6228377574 	 .0019493177 	 1 	 3 	 6 	 106569
HumanRights 	 3453306553 	 1.8547933503 	 .0019493177 	 1 	 4 	 112 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
Floods2022 	 3453306553 	 34.6228070097 	 .0038986354 	 2 	 4 	 12 	 106569
GG 	 3453306553 	 207.7388714232 	 .0019493177 	 1 	 1 	 1 	 106569
ScottyFromPhotoOps 	 3453306553 	 11.2290214543 	 .0038986354 	 2 	 10 	 37 	 106569
Forgery 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
LNPCabinet 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
Dutton 	 3453306553 	 34.6228377574 	 .0019493177 	 1 	 1 	 6 	 106569
FoxNews 	 3453306553 	 4.6163745412 	 .0019493177 	 1 	 13 	 45 	 106569
Murdoch 	 3453306553 	 2 2 1 15.9797690893 	 2 2 1 .0019493177 	 2 2 1 1 	 5 	 13 	 106569
RussianUkrainianWar 	 3453306553 	 1.8885167154 	 .0019493177 	 1 	 15 	 110 	 106569
bnefloods 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
Auspol 	 3453306553 	 21.7399046926 	 .0175438596 	 9 	 19 	 86 	 106569
Insiders 	 3453306553 	 12.2198142364 	 .0097465886 	 5 	 30 	 85 	 106569
QandA 	 3453306553 	 4.0732720512 	 .0019493177 	 1 	 16 	 51 	 106569
insiders 	 3453306553 	 1.4131757707 	 .0038986354 	 2 	 87 	 294 	 106569
Insiders 	 3453306553 	 12.2198142364 	 .0097465886 	 5 	 30 	 85 	 106569
Insiders 	 3453306553 	 12.2198142364 	 .0097465886 	 5 	 30 	 85 	 106569
Crumbmaiden 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
COVID19 	 3453306553 	 6 .1363549973 	 6 .0038986354 	 6 2 	 1096 	 3047 	 106569
COVID19Aus 	 3453306553 	 8.3094751582 	 .0038986354 	 2 	 12 	 50 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
ElonMusk 	 3453306553 	 4.7212922461 	 .0019493177 	 1 	 12 	 44 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
SayNoToWar 	 3453306553 	 14.8383552738 	 .0019493177 	 1 	 7 	 14 	 106569
BREAKING 	 3453306553 	 .5926871347 	 .0038986354 	 2 	 362 	 701 	 106569
Newspoll 	 3453306553 	 31.9595381787 	 .0038986354 	 2 	 6 	 13 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
ScottMorrison 	 3453306553 	 25.9671167876 	 .0019493177 	 1 	 4 	 8 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
EatShitLyle 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
NathanSykes 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
Whistleblower 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
invyhornjam 	 3453306553 	 34.6228377574 	 .0019493177 	 1 	 3 	 6 	 106569
russianinvasion 	 3453306553 	 5.4667602791 	 .0019493177 	 1 	 12 	 38 	 106569
MorningCarlos 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
oligarchmedia 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
nationalpressclub 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
ClivePalmer 	 3453306553 	 51.9343027577 	 .0019493177 	 1 	 2 	 4 	 106569
FatClive 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
Covid 	 3453306553 	 1 1 .6615822958 	 1 1 .0019493177 	 1 1 1 	 102 	 314 	 106569
FFFFFFson 	 3453306553 	 51.9343027577 	 .0019493177 	 1 	 1 	 4 	 106569
PutLNPliarsLast 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
MurdochSewerageCo 	 3453306553 	 51.9342335753 	 .0038986354 	 2 	 3 	 8 	 106569
Independents 	 3453306553 	 69.2457985058 	 .0019493177 	 1 	 1 	 3 	 106569
FFFFFFhead 	 3453306553 	 12.5901126563 	 .0038986354 	 2 	 10 	 33 	 106569
MurdochGutterMedia 	 3453306553 	 51.9342335753 	 .0038986354 	 2 	 2 	 8 	 106569
AlboForPM 	 3453306553 	 .9151402769 	 .0019493177 	 1 	 71 	 227 	 106569
RoyMorgan 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
USA 	 3453306553 	 9.4425846133 	 .0077972709 	 4 	 28 	 88 	 106569
Democracy 	 3453306553 	 1 6.4917770349 	 1 .0019493177 	 1 1 	 5 	 32 	 106569
GOPTraitorsToDemocracy 	 3453306553 	 12.9835583938 	 .0019493177 	 1 	 2 	 16 	 106569
GOP 	 3453306553 	 1 1 3.1005500869 	 1 1 .0019493177 	 1 1 1 	 16 	 67 	 106569
qt 	 3453306553 	 18.8851689845 	 .0038986354 	 2 	 7 	 22 	 106569
estimates 	 3453306553 	 34.6228377574 	 .0019493177 	 1 	 2 	 6 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
qt 	 3453306553 	 18.8851689845 	 .0038986354 	 2 	 7 	 22 	 106569
SenateEstimates 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
LongCovidKids 	 3453306553 	 1.2983553205 	 .0019493177 	 1 	 27 	 160 	 106569
60Mins 	 3453306553 	 41.5474200678 	 .0019493177 	 1 	 1 	 5 	 106569
Twitter 	 3453306553 	 5.0667530135 	 .0019493177 	 1 	 14 	 41 	 106569
GladysBerejiklian 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
nswpol 	 3453306553 	 18.8851691783 	 .0097465886 	 5 	 10 	 55 	 106569
ColonelMustard 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
libspill 	 3453306553 	 23.0818781726 	 .0019493177 	 1 	 3 	 9 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
ALP 	 3453306553 	 20.7736878955 	 .0019493177 	 1 	 3 	 10 	 106569
wedgedin 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
LNP 	 3453306553 	 9 4 3 2 2 2 1 1 1 1 1 1 1 1 1 4.9461159146 	 9 4 3 2 2 2 1 1 1 1 1 1 1 1 1 .0019493177 	 9 4 3 2 2 2 1 1 1 1 1 1 1 1 1 1 	 15 	 42 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
UKpol 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
Auspol 	 3453306553 	 21.7399046926 	 .0175438596 	 9 	 19 	 86 	 106569
LNPCorruptionParty 	 3453306553 	 25.2652950658 	 .0175438596 	 9 	 22 	 74 	 106569
FecklessLumpScotty 	 3453306553 	 56.6555079224 	 .0058479532 	 3 	 4 	 11 	 106569
LIAR 	 3453306553 	 69.2457985058 	 .0019493177 	 1 	 1 	 3 	 106569
ReligiousDiscriminationBill 	 3453306553 	 12.9835583938 	 .0019493177 	 1 	 5 	 16 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
Cat 	 3453306553 	 1 1 1 25.9671167876 	 1 1 1 .0019493177 	 1 1 1 1 	 4 	 8 	 106569
CatsofTwittter 	 3453306553 	 29.6767105477 	 .0019493177 	 1 	 3 	 7 	 106569
Caturday 	 3453306553 	 7.4191748131 	 .0019493177 	 1 	 11 	 28 	 106569
Auspol 	 3453306553 	 21.7399046926 	 .0175438596 	 9 	 19 	 86 	 106569
FuhrerDutts 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
Newspoll 	 3453306553 	 31.9595381787 	 .0038986354 	 2 	 6 	 13 	 106569
LibSpill 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
COVID19 	 3453306553 	 6 .1363549973 	 6 .0038986354 	 6 2 	 1096 	 3047 	 106569
smells 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
RAT 	 3453306553 	 1 23.0818781726 	 1 .0019493177 	 1 1 	 2 	 9 	 106569
contract 	 3453306553 	 69.2457985058 	 .0019493177 	 1 	 1 	 3 	 106569
awarded 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
without 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
open 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
tender 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
CrumbMaiden 	 3453306553 	 41.5474200678 	 .0019493177 	 1 	 3 	 5 	 106569
Berejiklian 	 3453306553 	 1 103.8688822460 	 1 .0019493177 	 1 1 	 1 	 2 	 106569
CultistOaf 	 3453306553 	 1 103.8688822460 	 1 .0019493177 	 1 1 	 1 	 2 	 106569
Election2022 	 3453306553 	 1 5.9353384951 	 1 .0019493177 	 1 1 	 1 	 35 	 106569
AnnihilateLNP 	 3453306553 	 34.6228178510 	 .0058479532 	 3 	 4 	 18 	 106569
LNPCorruptionParty 	 3453306553 	 25.2652950658 	 .0175438596 	 9 	 22 	 74 	 106569
Auspol 	 3453306553 	 21.7399046926 	 .0175438596 	 9 	 19 	 86 	 106569
COVID19 	 3453306553 	 6 .1363549973 	 6 .0038986354 	 6 2 	 1096 	 3047 	 106569
Auspol 	 3453306553 	 21.7399046926 	 .0175438596 	 9 	 19 	 86 	 106569
savethebees 	 3453306553 	 15.9797690893 	 .0019493177 	 1 	 3 	 13 	 106569
ScottyTheLiar 	 3453306553 	 8.6557017524 	 .0019493177 	 1 	 2 	 24 	 106569
RATs 	 3453306553 	 9.8922318292 	 .0019493177 	 1 	 7 	 21 	 106569
LNPNoLeadership 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
BA2 	 3453306553 	 .5259160570 	 .0019493177 	 1 	 222 	 395 	 106569
Omicron 	 3453306553 	 .4957919805 	 .0038986354 	 2 	 316 	 838 	 106569
Omicron 	 3453306553 	 .4957919805 	 .0038986354 	 2 	 316 	 838 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
fbf 	 3453306553 	 51.9343027577 	 .0019493177 	 1 	 2 	 4 	 106569
MurdochGutterMedia 	 3453306553 	 51.9342335753 	 .0038986354 	 2 	 2 	 8 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
LNP 	 3453306553 	 9 4 3 2 2 2 1 1 1 1 1 1 1 1 1 4.9461159146 	 9 4 3 2 2 2 1 1 1 1 1 1 1 1 1 .0019493177 	 9 4 3 2 2 2 1 1 1 1 1 1 1 1 1 1 	 15 	 42 	 106569
Japanese 	 3453306553 	 34.6228377574 	 .0019493177 	 1 	 3 	 6 	 106569
Melbourne 	 3453306553 	 23.0818781726 	 .0019493177 	 1 	 3 	 9 	 106569
Harajuku 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
abc730 	 3453306553 	 6.7011887600 	 .0058479532 	 3 	 27 	 93 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
hopium 	 3453306553 	 51.9343027577 	 .0019493177 	 1 	 1 	 4 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
BorisJohnson 	 3453306553 	 .8513804878 	 .0019493177 	 1 	 82 	 244 	 106569
Tsunami 	 3453306553 	 15.9797690893 	 .0019493177 	 1 	 5 	 13 	 106569
tonga 	 3453306553 	 34.6228377574 	 .0019493177 	 1 	 3 	 6 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
PutLNPLast 	 3453306553 	 27.6982603666 	 .0038986354 	 2 	 4 	 15 	 106569
LNPClimateCriminals 	 3453306553 	 18.8851689845 	 .0019493177 	 1 	 3 	 11 	 106569
FedICAC 	 3453306553 	 47.9393080879 	 .0058479532 	 3 	 5 	 13 	 106569
ScottysGlasgowFiasco 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
FireSeasonUponUsNow 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
ScottytheFailure 	 3453306553 	 4.0732720512 	 .0019493177 	 1 	 7 	 51 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
TheDrum 	 3453306553 	 14.8383552738 	 .0019493177 	 1 	 3 	 14 	 106569
Scottythefukwit 	 3453306553 	 20.7736878955 	 .0019493177 	 1 	 2 	 10 	 106569
Elections2022 	 3453306553 	 34.6228178510 	 .0058479532 	 3 	 3 	 18 	 106569
Albo 	 3453306553 	 1 1 12.9835583938 	 1 1 .0019493177 	 1 1 1 	 7 	 16 	 106569
Djokovic 	 3453306553 	 3 2.9676692475 	 3 .0019493177 	 3 1 	 27 	 70 	 106569
nswpol 	 3453306553 	 18.8851691783 	 .0097465886 	 5 	 10 	 55 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
SoOverIt 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
NSW 	 3453306553 	 1 18.8851689845 	 1 .0019493177 	 1 1 	 4 	 11 	 106569
AustraliaDay 	 3453306553 	 20.7736878955 	 .0019493177 	 1 	 3 	 10 	 106569
meme 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
LNPCorruptionParty 	 3453306553 	 25.2652950658 	 .0175438596 	 9 	 22 	 74 	 106569
domicron 	 3453306553 	 34.6228377574 	 .0019493177 	 1 	 2 	 6 	 106569
zealot 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
nswpol 	 3453306553 	 18.8851691783 	 .0097465886 	 5 	 10 	 55 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
WhyRRRRRRangeMatters 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
DjokovicFarce 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
BorderFarce 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
Scotty 	 3453306553 	 3 3 2 1 1 1 1 1 1 1 1 1 34.6228377574 	 3 3 2 1 1 1 1 1 1 1 1 1 .0019493177 	 3 3 2 1 1 1 1 1 1 1 1 1 1 	 3 	 6 	 106569
Djokovic 	 3453306553 	 3 2.9676692475 	 3 .0019493177 	 3 1 	 27 	 70 	 106569
Scotty 	 3453306553 	 3 3 2 1 1 1 1 1 1 1 1 1 34.6228377574 	 3 3 2 1 1 1 1 1 1 1 1 1 .0019493177 	 3 3 2 1 1 1 1 1 1 1 1 1 1 	 3 	 6 	 106569
Australia 	 3453306553 	 2 1 2.8457101305 	 2 1 .0019493177 	 2 1 1 	 22 	 73 	 106569
Djokovic 	 3453306553 	 3 2.9676692475 	 3 .0019493177 	 3 1 	 27 	 70 	 106569
ScottytheGaslighter 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
abc730 	 3453306553 	 6.7011887600 	 .0058479532 	 3 	 27 	 93 	 106569
ScottyFromEugenics 	 3453306553 	 9.8922318292 	 .0019493177 	 1 	 1 	 21 	 106569
PoliticalDonations 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
CrookDevelopers 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
CrookedLNP 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
PRPM 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
ScottyFromMarketing 	 3453306553 	 14.8383552738 	 .0019493177 	 1 	 3 	 14 	 106569
COVID19 	 3453306553 	 6 .1363549973 	 6 .0038986354 	 6 2 	 1096 	 3047 	 106569
Australia 	 3453306553 	 2 1 2.8457101305 	 2 1 .0019493177 	 2 1 1 	 22 	 73 	 106569
nswpol 	 3453306553 	 18.8851691783 	 .0097465886 	 5 	 10 	 55 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
ClimateCrisis 	 3453306553 	 .7809655664 	 .0019493177 	 1 	 40 	 266 	 106569
COVID19 	 3453306553 	 6 .1363549973 	 6 .0038986354 	 6 2 	 1096 	 3047 	 106569
FecklessLumpScotty 	 3453306553 	 56.6555079224 	 .0058479532 	 3 	 4 	 11 	 106569
LNPdisasters 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
RWdictator 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
USA 	 3453306553 	 9.4425846133 	 .0077972709 	 4 	 28 	 88 	 106569
USA 	 3453306553 	 9.4425846133 	 .0077972709 	 4 	 28 	 88 	 106569
FFFFFFhead 	 3453306553 	 12.5901126563 	 .0038986354 	 2 	 10 	 33 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
COVID19Aus 	 3453306553 	 8.3094751582 	 .0038986354 	 2 	 12 	 50 	 106569
IPABC 	 3453306553 	 103.8688822460 	 .0019493177 	 1 	 1 	 2 	 106569
auspol 	 3453306553 	 4.2832338738 	 .0740740740 	 38 	 348 	 1843 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
RepublicanTTTTTTPredators 	 348764745 	 73.0324849700 	 .0986842105 	 45 	 58 	 144 	 106569
MMMMMMleX 	 348764745 	 29.2130062196 	 .0021929824 	 1 	 5 	 8 	 106569
MarjorieTaylorGreene 	 348764745 	 5.0805207610 	 .0021929824 	 1 	 17 	 46 	 106569
Texas 	 348764745 	 2.9212994545 	 .0021929824 	 1 	 30 	 80 	 106569
UkraineRussia 	 348764745 	 3 6.1501045568 	 3 .0043859649 	 3 2 	 18 	 76 	 106569
DeSantisDestroysFlorida 	 348764745 	 58.4260902694 	 .0021929824 	 1 	 1 	 4 	 106569
ArmUkraineNow 	 348764745 	 2.6557268733 	 .0021929824 	 1 	 13 	 88 	 106569
Anonymous 	 348764745 	 4.2108821066 	 .0087719298 	 4 	 116 	 222 	 106569
SAVEMELISSALUCIO 	 348764745 	 116.8524918607 	 .0021929824 	 1 	 1 	 2 	 106569
FoxLies 	 348764745 	 93.4816967511 	 .0043859649 	 2 	 2 	 5 	 106569
StandUpForUkraine 	 348764745 	 9.9448491799 	 .0043859649 	 2 	 13 	 47 	 106569
Oscars 	 348764745 	 1.2701301166 	 .0021929824 	 1 	 76 	 184 	 106569
RussianWarCrimes 	 348764745 	 2.0500347097 	 .0021929824 	 1 	 13 	 114 	 106569
GovernorMeeMaw 	 348764745 	 46.7408473098 	 .0021929824 	 1 	 2 	 5 	 106569
ACAB 	 348764745 	 17.9772401230 	 .0021929824 	 1 	 3 	 13 	 106569
Covid19 	 348764745 	 .6546329068 	 .0021929824 	 1 	 146 	 357 	 106569
YAC 	 348764745 	 116.8524918607 	 .0021929824 	 1 	 1 	 2 	 106569
Grammys 	 348764745 	 7.3032491227 	 .0021929824 	 1 	 16 	 32 	 106569
JesusWeeps 	 348764745 	 116.8524918607 	 .0021929824 	 1 	 1 	 2 	 106569
DFPIsPutinsPartner 	 348764745 	 116.8524918607 	 .0021929824 	 1 	 1 	 2 	 106569
inflation 	 348764745 	 7.0819383288 	 .0021929824 	 1 	 10 	 33 	 106569
gasprices 	 348764745 	 21.2458149865 	 .0021929824 	 1 	 6 	 11 	 106569
Applebees 	 348764745 	 38.9506922550 	 .0021929824 	 1 	 3 	 6 	 106569
CutThePentagon 	 348764745 	 116.8524918607 	 .0021929824 	 1 	 1 	 2 	 106569
StandUpForUkraine 	 348764745 	 9.9448491799 	 .0043859649 	 2 	 13 	 47 	 106569
Putin 	 348764745 	 2 2 1 1 1 1 1 1 1 .3095416463 	 2 2 1 1 1 1 1 1 1 .0021929824 	 2 2 1 1 1 1 1 1 1 1 	 228 	 755 	 106569
Russian 	 348764745 	 3 1 1 .2588083527 	 3 1 1 .0021929824 	 3 1 1 1 	 397 	 903 	 106569
ArmsForUkraine 	 348764745 	 116.8524918607 	 .0021929824 	 1 	 1 	 2 	 106569
Anonymous 	 348764745 	 4.2108821066 	 .0087719298 	 4 	 116 	 222 	 106569
NoFlyZone 	 348764745 	 2 5.4349760492 	 2 .0021929824 	 2 1 	 16 	 43 	 106569
Russia 	 348764745 	 8 3 3 2 2 1 1 1 .0961349001 	 8 3 3 2 2 1 1 1 .0021929824 	 8 3 3 2 2 1 1 1 1 	 1029 	 2431 	 106569
StopPutinsWar 	 348764745 	 7.5388380470 	 .0021929824 	 1 	 16 	 31 	 106569
FreeUkraine 	 348764745 	 4.7694681989 	 .0021929824 	 1 	 13 	 49 	 106569
WeAreAllUkrainians 	 348764745 	 11.6851993746 	 .0021929824 	 1 	 8 	 20 	 106569
UNTRUTH 	 348764745 	 25.9671127962 	 .0021929824 	 1 	 4 	 9 	 106569
Anonymous 	 348764745 	 4.2108821066 	 .0087719298 	 4 	 116 	 222 	 106569
Russia 	 348764745 	 8 3 3 2 2 1 1 1 .0961349001 	 8 3 3 2 2 1 1 1 .0021929824 	 8 3 3 2 2 1 1 1 1 	 1029 	 2431 	 106569
ANONYMOUS 	 348764745 	 46.7408473098 	 .0021929824 	 1 	 3 	 5 	 106569
