hashtag_H 	 cluster_C_leader(userID) 	 relative_frequency_H_C 	 frequency_H_in_C 	 frequency_H_overall 	 count_H_in_C 	 count_hashtags_in_C 	 count_H_entire_dataset 	 count_hashtags_entire_dataset
Joyce 	 1238370241169616897 	 2804.4598739283 	 .0526315789 	 2 	 4 	 2 	 106569
AbusiveAvi 	 1238370241169616897 	 701.1130992185 	 .0263157894 	 1 	 2 	 4 	 106569
auspol 	 1238370241169616897 	 6.0867007687 	 .1052631578 	 4 	 97 	 1843 	 106569
Auspol 	 1238370241169616897 	 1 32.6098570389 	 1 .0263157894 	 1 1 	 11 	 86 	 106569
LNPDisgrace 	 1238370241169616897 	 50.9899571301 	 .0263157894 	 1 	 10 	 55 	 106569
ausvotes 	 1238370241169616897 	 3 11.0411314808 	 3 .0263157894 	 3 1 	 15 	 254 	 106569
auspol 	 1238370241169616897 	 6.0867007687 	 .1052631578 	 4 	 97 	 1843 	 106569
GutlessScomo 	 1238370241169616897 	 1529.6987177810 	 .3157894736 	 12 	 24 	 22 	 106569
GutlessScomo 	 1238370241169616897 	 1529.6987177810 	 .3157894736 	 12 	 24 	 22 	 106569
GutlessScomo 	 1238370241169616897 	 1529.6987177810 	 .3157894736 	 12 	 24 	 22 	 106569
GutlessScomo 	 1238370241169616897 	 1529.6987177810 	 .3157894736 	 12 	 24 	 22 	 106569
GutlessScomo 	 1238370241169616897 	 1529.6987177810 	 .3157894736 	 12 	 24 	 22 	 106569
GutlessScomo 	 1238370241169616897 	 1529.6987177810 	 .3157894736 	 12 	 24 	 22 	 106569
GutlessScomo 	 1238370241169616897 	 1529.6987177810 	 .3157894736 	 12 	 24 	 22 	 106569
GutlessScomo 	 1238370241169616897 	 1529.6987177810 	 .3157894736 	 12 	 24 	 22 	 106569
GutlessScomo 	 1238370241169616897 	 1529.6987177810 	 .3157894736 	 12 	 24 	 22 	 106569
GutlessScomo 	 1238370241169616897 	 1529.6987177810 	 .3157894736 	 12 	 24 	 22 	 106569
GutlessScomo 	 1238370241169616897 	 1529.6987177810 	 .3157894736 	 12 	 24 	 22 	 106569
GutlessScomo 	 1238370241169616897 	 1529.6987177810 	 .3157894736 	 12 	 24 	 22 	 106569
NeverTrustNewsCorp 	 1238370241169616897 	 116.8519756560 	 .0263157894 	 1 	 2 	 24 	 106569
GAFFE 	 1238370241169616897 	 1402.2299342999 	 .0263157894 	 1 	 2 	 2 	 106569
AlboForPM 	 1238370241169616897 	 37.0631819447 	 .0789473684 	 3 	 21 	 227 	 106569
ausvotes2022 	 1238370241169616897 	 701.1130992185 	 .0263157894 	 1 	 2 	 4 	 106569
auspol 	 1238370241169616897 	 6.0867007687 	 .1052631578 	 4 	 97 	 1843 	 106569
ausvotes 	 1238370241169616897 	 3 11.0411314808 	 3 .0263157894 	 3 1 	 15 	 254 	 106569
AlboForPM 	 1238370241169616897 	 37.0631819447 	 .0789473684 	 3 	 21 	 227 	 106569
AlboForPM 	 1238370241169616897 	 37.0631819447 	 .0789473684 	 3 	 21 	 227 	 106569
CashlessWelfareCard 	 1238370241169616897 	 467.4083177180 	 .0263157894 	 1 	 2 	 6 	 106569
CashlessDebitCard 	 1238370241169616897 	 350.5560826283 	 .0263157894 	 1 	 2 	 8 	 106569
Election2022 	 1238370241169616897 	 80.1270710544 	 .0263157894 	 1 	 4 	 35 	 106569
ausvotes 	 1238370241169616897 	 3 11.0411314808 	 3 .0263157894 	 3 1 	 15 	 254 	 106569
Auspol22 	 1238370241169616897 	 560.8901805068 	 .0263157894 	 1 	 2 	 5 	 106569
auspol 	 1238370241169616897 	 6.0867007687 	 .1052631578 	 4 	 97 	 1843 	 106569
Albo4PM 	 1238370241169616897 	 186.9632606721 	 .0263157894 	 1 	 4 	 15 	 106569
Mongol 	 1238583088998830081 	 2664.2368826297 	 .0500000000 	 1 	 1 	 2 	 106569
WeStandWithUkraine 	 1238583088998830081 	 140.2224039504 	 .0500000000 	 1 	 3 	 38 	 106569
